Customer_ID,Customer_Name,Email,Gender,Age,Country,Signup_Date,Purchase_Amount
101,John Doe,john@gmail.com,Male,28,India,2023-01-15,1200
102, jane smith ,JANE@GMAIL.COM,Female,32,india,15/02/2023,850
103,Robert Brown,,Male,45,USA,2023/03/10,900
104,Emily Davis,emily@gmail.com,FEMALE,,United States,2023-04-20,1100
105,Michael Lee,michael@gmail.com,Male,29,INDIA,2023-05-18,
106,Sarah Wilson,sarah@gmail.com,Female,35,UK,18-06-2023,1300
107,David Miller,David@gmail.com,male,40,usa,2023-07-25,700
108,John Doe,john@gmail.com,Male,28,India,2023-01-15,1200
109,Ana Thomas,ana@gmail.com,Female,27,India,2023-08-10,950
110,Chris Green,,Male,thirty,Canada,2023-09-01,1000
111, Priya Patel ,priya@gmail.com,Female,31, india ,01-10-2023,1150
112,Rahul Verma,rahul@gmail.com,Male,34,INDIA,2023-11-05,800
113,Emily Davis,emily@gmail.com,Female,,United States,2023-04-20,1100
114,Mark Allen,mark@gmail.com,Male,38,U.S.A,2023/12/12,1400
115,Sneha Iyer,sneha@gmail.com,Female,29,India,,900
